faoID,simpleName,primary,faoName,faoGroupID,faoGroupName,canonicalName,definition
15,wheat,TRUE,Wheat,1,cereals and cereal products,Triticum spp. | Triticum aestivum | Triticum durum | Triticum spelta,"Common and durum wheat are the main types. Among common wheat, the main varieties are spring and winter, hard and soft, and red and white. At the national level, different varieties should be reported separately, reflecting their different uses. It includes meslin (a mixture wheat/rye). Used mainly for human food."
16,flour of wheat,FALSE,Flour of Wheat,1,cereals and cereal products,NA,"Defined broadly to include meal, groats and pellets. Strong flours from hard wheat are used for bread, while durum wheat flour is used primarily for pasta. Weaker flours from soft wheat are mainly used in cakes, pastries, biscuits and certain noodles."
17,bran of wheat,FALSE,Bran of Wheat,11,fodder crops and products,NA,"Defined broadly to include sharps and other residue from the milling, sifting or other working of the grain. Contains a little flour."
18,macaroni,FALSE,Macaroni,1,cereals and cereal products,NA,"Pasta made from semolina, or flour, that is mixed with water and kneaded into a dough. Other ingredients may be included as well. The dough is then shaped into various forms. This heading is limited to macaroni that is not cooked, stuffed or otherwise prepared."
19,germ of wheat,FALSE,Germ of Wheat,1,cereals and cereal products,NA,"The seed embryo. Whole or rolled germ is used for oil extraction by solvents. Flaked or ground germ is used in bakers' wares, dietetic preparations, feed supplements and in pharmaceutical preparations."
20,bread,FALSE,Bread,1,cereals and cereal products,NA,"A baked product of flour or meal of cereals, especially wheat. Includes ordinary, unleavened, crackers, rusks, etc."
21,bulgur,FALSE,Bulgur,1,cereals and cereal products,NA,"Whole wheat grains that are boiled, dried and cracked, either between stones or in a hand mill. Very popular in the Near East"
22,pastry,FALSE,Pastry,1,cereals and cereal products,NA,"All baked products excluding those listed under bread. Pastry products may contain ingredients other than wheat flour, such as milk, eggs, sugar, honey, starch, fats, fruit, seeds, etc."
23,starch of wheat,FALSE,Starch of Wheat,1,cereals and cereal products,NA,"Starch is the carbohydrate component in many plant cells. A white, odourless powder that is insoluble in cold water, it forms a paste in hot water. Wheat starch is used for human consumption and animal feed, and is processed into glucose and dextrine for industrial use. It is usually obtained from low-quality flour."
24,wheat gluten,FALSE,Wheat Gluten,1,cereals and cereal products,NA,"A by-product of the industrial production of starch, wheat gluten is the preferred cereal gluten for food purposes. Uses include enriching protein in flours for bread, pasta, etc."
26,wheat-fermented beverages,FALSE,Wheat-Fermented Beverages,15,beverages,NA,"Low-alcohol beverages from fermented flour, e.g. Korean jakju and takju."
27,rice paddy,TRUE,"Rice, paddy",1,cereals and cereal products,Oryza spp. | Oryza sativa,Rice grain after threshing and winnowing.Also known as rice in the husk and rough rice. Used mainly for human food.
28,rice husked,FALSE,"Rice, Husked",1,cereals and cereal products,NA,Rice grain without hulls or husks. Also known as brown or cargo rice.
29,rice milled (husked),FALSE,"Rice, Milled (Husked)",1,cereals and cereal products,NA,"White rice milled from imported husked rice. Includes semi-milled, whole-milled and parboiled rice."
31,rice milled,FALSE,"Rice, Milled",1,cereals and cereal products,NA,"White rice milled from locally grown paddy. Includes semi-milled, whole-milled and parboiled rice."
32,rice broken,FALSE,"Rice, Broken",1,cereals and cereal products,NA,"Residues from the selection of whole-grain, milled rice."
33,rice gluten,FALSE,"Rice, Gluten",1,cereals and cereal products,NA,A by-product of the industrial production of starch. Not suitable for food use.
34,starch of rice,FALSE,Starch of Rice,1,cereals and cereal products,NA,"See 0023 Rice starch is usually obtained from broken rice. Use primarily in the photographic industry to prepare ""matt"" paper."
35,bran of rice,FALSE,Bran of Rice,11,fodder crops and products,NA,"A by-product of polishing brown rice, comprising the pericarp, aleurone layer, embryo and some endosperm."
36,oil of rice bran,FALSE,Oil of Rice Bran,14,vegetable and animal oils and fats,NA,"Extracted from bran by pressure or, more frequently, by solvents."
37,cake of rice bran,FALSE,Cake of Rice Bran,11,fodder crops and products,NA,A residue of the extraction of oil. Also known as de-oiled rice bran.
38,flour of rice,FALSE,Flour of Rice,1,cereals and cereal products,NA,Produced by milling broken or milled rice. Finely ground rice flour is widely used in infant foods and in noodles. It is not used in bread because it lacks the necessary gluten-forming protein.
39,rice-fermented beverages,FALSE,Rice-Fermented Beverages,15,beverages,NA,"Low-alcohol beverages, such as rice wine and sake."
41,breakfast cereals,FALSE,Breakfast Cereals,1,cereals and cereal products,NA,"Foods prepared by swelling and roasting cereals or cereal products, e.g. corn flakes, puffed rice; cereals o/t maize, in grain form, precooked or otherwise prepared."
44,barley,TRUE,Barley,1,cereals and cereal products,Hordeum spp. | Hordeum disticum | Hordeum hexasticum | Hordeum vulgare,"Tolerates poorer soils and lower temperatures better than does wheat. Varieties include with husk and without (naked). Used as a livestock feed, for malt and for preparing foods. The roasted grains are a coffee substitute."
45,pot barley,FALSE,Pot Barley,1,cereals and cereal products,NA,"Whole-seed barley with the husks, hulls and bran removed."
46,barley pearled,FALSE,"Barley, Pearled",1,cereals and cereal products,NA,"Small, round pellets obtained by the further milling of pot barley. This definition also includes kibbled, rolled or flaked grains."
47,bran of barley,FALSE,Bran of Barley,11,fodder crops and products,NA,A by-product of the production of pot barley.
48,barley flour and grits,FALSE,Barley Flour and Grits,1,cereals and cereal products,NA,Fine flour and course meal obtained as milling by-products of pearled barley.
49,malt,FALSE,Malt,1,cereals and cereal products,NA,"A grain - usually barley - that has been germinated through a soaking process and then dried. Malt is used in brewing and distilling, and as a nutrient additive. Includes whole, ground, flour, and roasted malt, but excludes extracts and preparations."
50,malt extract,FALSE,Malt Extract,1,cereals and cereal products,NA,"A concentrated solution from water-macerated malt, which is used in infant and dietetic foods and in bread baking."
51,beer of barley,FALSE,Beer of Barley,15,beverages,NA,"Beverage that may be alcoholic or non-alcoholic that is made from fermented malted cereals (mainly barley), water and hops. Non-malted cereals may also be used. The FAO definition differs from the main international classifications in that it includes non-alcoholic beer."
56,maize,TRUE,Maize,1,cereals and cereal products,Zea mays,"A grain with a high germ content. At the national level, hybrid and ordinary maize should be reported separately owing to widely different yields and uses. Used largely for animal feed and commercial starch production."
57,germ of maize,FALSE,Germ of Maize,1,cereals and cereal products,NA,The seed embryo that is separated during processing and is valued mainly for its oil.
58,flour of maize,FALSE,Flour of Maize,1,cereals and cereal products,NA,"Broadly defined to include meal, groats and pellets."
59,bran of maize,FALSE,Bran of Maize,11,fodder crops and products,NA,A by-product of the milling of shelled maize.
60,oil of maize,FALSE,Oil of Maize,14,vegetable and animal oils and fats,NA,Extracted from germ by pressure or by solvents.
61,cake of maize,FALSE,Cake of Maize,11,fodder crops and products,NA,A residue of the extraction of oil from germ.
63,maize gluten,FALSE,Maize Gluten,1,cereals and cereal products,NA,"Maize protein is often called gluten, although it lacks the quality characteristics of wheat gluten. It is separated from maize during commercial wet milling and used to enrich animal feeds."
64,starch of maize,FALSE,Starch of Maize,1,cereals and cereal products,NA,"See 0023. The primary product of the large- scale industrial wet-milling process. Used mainly for the production of glucose, dextrin and alcohol."
66,beer of maize,FALSE,Beer of Maize,15,beverages,NA,Prepared either from malted or unmalted cereal.
67,white maize,FALSE,White Maize,1,cereals and cereal products,NA,"Although separate data are reported for white maize production owing to its regional importance, its production is also included in 0056."
68,popcorn,TRUE,Popcorn,1,cereals and cereal products,Zea mays var. everta,"A variety of maize that is eaten after the kernels have been heated and have ""popped""."
71,rye,TRUE,Rye,1,cereals and cereal products,Secale cereale,"A grain that is tolerant of poor soils, high latitudes and altitudes. Mainly used in making bread, whisky and beer. When fed to livestock, it is generally mixed with other grains."
72,flour of rye,FALSE,Flour of Rye,1,cereals and cereal products,NA,"Broadly defined to include meal, groats and pellets. In northern countries, rye flour is used primarily in bread."
73,bran of rye,FALSE,Bran of Rye,11,fodder crops and products,NA,A milling by-product.
75,oats,TRUE,Oats,1,cereals and cereal products,Avena spp. | Avena sativa,"A plant with open, spreading panicle-bearing large spikelets. Used primarily in breakfast foods. Makes excellent fodder for horses."
76,oats rolled,FALSE,"Oats, Rolled",1,cereals and cereal products,NA,"Obtained by crushing or rolling the whole or broken grain; includes grains flaked, hulled or otherwise worked for human consumption."
77,bran of oats,FALSE,Bran of Oats,11,fodder crops and products,NA,"By-product of milling oats for human consumption, containing mainly hulls and fragments of the endosperm (oat millfeed), as well as residues from hulling, rolling, flaking, etc."
79,millet,TRUE,Millet,1,cereals and cereal products,Echinocloa frumentacea | Eleusine coracana | Panicum miliaceum | Paspalum scrobiculatum | Pennisetum glaucum | Setaria italica,"Small-grained cereals that include a large number of different botanical species. Originated by the domestication of wild African grasses in the Nile valley and the Sahel zone, millets were subsequently taken to China and India. These cereals tolerate arid conditions and possess a small, highly nutritious grain that stores well. Used locally, both as a food and as a livestock feed. In all areas where they are cultivated, millets are used in traditional beer brewing. Also used as a feed for birds. It does not include Teff (Eragrostis abyssinica) cf. 0108."
80,flour of millet,FALSE,Flour of Millet,1,cereals and cereal products,NA,"Broadly defined to include meal, groats and pellets."
81,bran of millet,FALSE,Bran of Millet,11,fodder crops and products,NA,A milling by-product.
82,beer of millet,FALSE,Beer of Millet,15,beverages,NA,A traditional beer prepared in African countries in which millets are cultivated. It is normally consumed while still fermenting.
83,sorghum,TRUE,Sorghum,1,cereals and cereal products,Sorghum spp. | Sorghum guineense | Sorghum vulgare | Sorghum dura,"A cereal that has both food and feed uses. Sorghum is a major food grain in most of Africa, where it is also used in traditional beer brewing. It is desirable to report hybrid and other varieties separately."
84,flour of sorghum,FALSE,Flour of Sorghum,1,cereals and cereal products,NA,"Broadly defined to include meal, groats and pellets."
85,bran of sorghum,FALSE,Bran of Sorghum,11,fodder crops and products,NA,A milling by-product.
86,beer of sorghum,FALSE,Beer of Sorghum,15,beverages,NA,A traditional beer prepared in African countries in which sorghum is cultivated. It is normally consumed while still fermenting.
89,buckwheat,TRUE,Buckwheat,1,cereals and cereal products,Fagopyrum esculentum (Polygonaceae),"A minor cereal cultivated primarily in northern regions. Buckwheat is considered a cereal, although it does not belong to the gramineous family."
90,flour of buckwheat,FALSE,Flour of Buckwheat,1,cereals and cereal products,NA,"Broadly defined to include meal, groats and pellets. The flour is normally used in bread and crackers, and is also mixed with wheat flour. Meal and groats are normally used for soups."
91,bran of buckwheat,FALSE,Bran of Buckwheat,11,fodder crops and products,NA,A milling by-product.
92,quinoa,TRUE,Quinoa,1,cereals and cereal products,Chenopodium quinoa (Chenopodiaceae),"A minor cereal, which tolerates high altitudes, quinoa is cultivated primarily in Andean countries. Used for food and to make chicha, a fermented beverage."
94,fonio,TRUE,Fonio,1,cereals and cereal products,Digitaria spp. | Digitaria exilis | Digitaria iburua,A minor cereal of importance only in West Africa where it is eaten in place of rice during famines. The seeds are cooked by steaming the whole grain.
95,flour of fonio,FALSE,Flour of Fonio,1,cereals and cereal products,NA,"Broadly defined to include meal, groats and pellets."
96,bran of fonio,FALSE,Bran of Fonio,11,fodder crops and products,NA,A milling by-product.
97,triticale,FALSE,Triticale,1,cereals and cereal products,NA,"A minor cereal that is a cross between wheat and rye, combining the quality and yield of wheat with the hardiness of rye."
98,flour of triticale,FALSE,Flour of Triticale,1,cereals and cereal products,NA,"Broadly defined to include meal, groats and pellets."
99,bran of triticale,FALSE,Bran of Triticale,11,fodder crops and products,NA,A milling by-product.
101,canary seed,TRUE,Canary seed,1,cereals and cereal products,Phalaris canariensis,Minor cereal normally used as bird feed.
103,mixed grain,FALSE,Mixed grain,1,cereals and cereal products,NA,A mixture of cereal species that are sown and harvested together. It does not include: meslin (a mixture wheat/rye).
104,flour of mixed grain,FALSE,Flour of Mixed Grain,1,cereals and cereal products,NA,"Broadly defined to include meal, groats and pellets."
105,bran of mixed grain,FALSE,Bran of Mixed Grain,11,fodder crops and products,NA,A milling by-product.
108,cereals nes,TRUE,"Cereals, nes",1,cereals and cereal products,Chenopodium pallidicaule | Amaranthus caudatus | Coix lacryma-jobi | Zizania aquatica | Teff,"Other cereal crops that are not identified separately because of their minor relevance at the international level. Because of their limited local importance, some countries report cereals under this commodity heading that are classified individually by FAO."
109,infant food,FALSE,Infant Food,1,cereals and cereal products,NA,"Preparations for infant consumption, usually containing some non-cereal ingredients."
110,wafers,FALSE,Wafers,1,cereals and cereal products,NA,"Communion wafers, empty cachets for pharmaceutical use and sealing wafers."
111,flour of cereals nes,FALSE,Flour of Cereals nes,1,cereals and cereal products,NA,"Broadly defined to include meal, groats and pellets."
112,bran of cereals nes,FALSE,Bran of Cereals nes,11,fodder crops and products,NA,A milling by-product.
113,cereal preparations,FALSE,Cereal Preparations,1,cereals and cereal products,NA,"Cereal grains, excluding barley and oats, that are either rolled, flaked, pearled, sliced or kibbled."
114,mixes and doughs,FALSE,Mixes and Doughs,1,cereals and cereal products,NA,Used in the preparation of bakers' wares.
115,food preparations of flour meal or malt extract,FALSE,"Food Preparations of Flour, Meal or Malt Extract",1,cereals and cereal products,NA,"Food preparations of flour, meal, starch or malt extracts, that either do not contain, or contain less than 50%, cocoa powder. Also, food preparations of milk that either do not contain, or contain less than 10%, cocoa powder."
116,potatoes,TRUE,Potatoes,2,roots and tubers and derived products,Solanum tuberosum,"A seasonal crop grown in temperate zones all over the world, but primarily in the northern hemisphere."
117,flour of potatoes,FALSE,Flour of Potatoes,2,roots and tubers and derived products,NA,"Produced from tubers that have been peeled, dried and milled. Includes flour, meal, flakes, granules and pellets."
118,frozen potatoes,FALSE,Frozen Potatoes,2,roots and tubers and derived products,NA,"Peeled potatoes that are either cooked or uncooked, sliced or unsliced, and then frozen."
119,starch of potatoes,FALSE,Starch of Potatoes,2,roots and tubers and derived products,NA,"A carbohydrate found in many plant cells. A white odourless powder that is insoluble in cold water, but forms a paste in hot water. Has wide food and non-food uses."
120,potato offals,FALSE,Potato Offals,11,fodder crops and products,NA,The residue and waste from the preparation of potatoes.
121,tapioca of potatoes,FALSE,Tapioca of Potatoes,2,roots and tubers and derived products,NA,"A product obtained by heating potato starch mixed with water. Tapioca may be in the form of flakes, grains, pearls, siftings, seeds or other similar forms. Used in the preparation of soups and puddings or in foods for invalids."
122,sweet potatoes,TRUE,Sweet potatoes,2,roots and tubers and derived products,Ipomoea batatas,"A seasonal crop grown in tropical and subtropical regions. Used mainly for human food. Trade data cover fresh and dried tubers, whether or not sliced or in the form or pellets."
125,cassava,TRUE,Cassava,2,roots and tubers and derived products,Manihot esculenta | Manihot utilissima | Manihot palmata | Manihot dulcis,"A semi-permanent crop grown in tropical and subtropical regions. Sometimes bitter and sweet cassavas are referred to as separate species, the former being M. esculenta and the latter M. palmata, but this is incorrect since the toxicity varies according to location. Cassava is the staple food in many tropical countries. It is not traded internationally in its fresh state because tubers deteriorate very rapidly."
126,flour of cassava,FALSE,Flour of Cassava,2,roots and tubers and derived products,NA,"A product of tubers that have been peeled, dried and milled; mainly for human consumption. Includes flour, meal and flakes."
127,tapioca of cassava,FALSE,Tapioca of Cassava,2,roots and tubers and derived products,NA,See 0121. Obtained from cassava starch and used in the preparation of puddings and in infant foods.
128,cassava dried,FALSE,"Cassava, Dried",2,roots and tubers and derived products,NA,"Includes peeled, sliced and sun-dried (cassava chips), as well as ground and compressed cassava (pellets). Used mainly as livestock feed."
129,starch of cassava,FALSE,Starch of Cassava,2,roots and tubers and derived products,NA,"See 0119. The principal industrial outlet for cassava. Cassava starch is used in the foodstuffs, textile and paper industries for the manufacture of plywood and veneer, adhesives, glucose and dextrine."
135,yautia (cocoyam),TRUE,Yautia (Cocoyam),2,roots and tubers and derived products,Xanthosoma spp. | Xanthosoma sagittifolium,"Several plants are included in this group, some with edible tubers and others with edible stems (also called aroids). Yautia is grown mainly in the Caribbean and is used for food. Trade data cover both fresh and dried yautia."
136,taro (cocoyam),TRUE,Taro (Cocoyam),2,roots and tubers and derived products,Colocasia esculenta,Aroids cultivated for their edible starchy corms or underground stems. Taro is grown throughout the tropics for food. Trade data cover both fresh and dried taro.
137,yams,TRUE,Yams,2,roots and tubers and derived products,Dioscorea spp.,"The principal edible yams are widely grown throughout the tropics. A starchy staple foodstuff, normally eaten as a vegetable, boiled, baked or fried. In West Africa they are consumed mainly as ""fufu"", a stiff glutinous dough. Trade data cover both fresh and dried yams."
149,roots and tubers nes,TRUE,Roots and tubers nes,2,roots and tubers and derived products,"Arracacoa xanthorrhiza | Maranta arundinacea | Cyperus esculentus | Metroxylon spp. | Oxalis tuberosa and Ullucus tuberosus | Pachyrxhizus erosus, Pachyrxhizus angulatus | Tropaeolum tuberosum | Helianthus tuberosus","Other tubers, roots or rhizomes, fresh, that are not identified separately because of their minor relevance at the international level. Because of their limited local importance, some countries report roots and tubers under this commodity heading that are classified individually by FAO."
150,flour of roots and tubers nes,FALSE,Flour of Roots and Tubers nes,2,roots and tubers and derived products,NA,Flour and meal produced from roots and tubers o/t potatoes and cassava.
151,roots and tubers dried nes,FALSE,"Roots and Tubers, Dried nes",2,roots and tubers and derived products,NA,"Other tubers, roots or rizhomes, dried, o/t potatoes and cassava."
154,fructose chemically pure,FALSE,"Fructose, Chemically Pure",3,sugar crops and sweeteners and derived products,NA,"Or levulose, monosaccharide, present with glucose in sweet fruits and honey."
155,maltose chemically pure,FALSE,"Maltose, Chemically Pure",3,sugar crops and sweeteners and derived products,NA,Produced industrially from starch by hydrolysis with malt diastase. Used in the brewing industry.
156,sugar cane,TRUE,Sugar cane,3,sugar crops and sweeteners and derived products,Saccharum officinarum,"In some producing countries, marginal quantities of sugar cane are consumed, either directly as food or in the form of juice."
157,sugar beet,TRUE,Sugar beet,3,sugar crops and sweeteners and derived products,Beta vulgaris var. altissima,"In some producing countries, marginal quantities are consumed, either directly as food or in the preparation of jams."
158,cane sugar,FALSE,Cane Sugar,3,sugar crops and sweeteners and derived products,NA,"A non-refined, crystallized material derived from the juices of sugar-cane stalk and consisting either wholly or essentially of sucrose."
159,beet sugar,FALSE,Beet Sugar,3,sugar crops and sweeteners and derived products,NA,"A non-refined, crystallized material derived from the juices extracted from the root of the sugar beet and consisting either wholly or essentially of sucrose."
160,maple sugar and syrups,FALSE,Maple Sugar and Syrups,3,sugar crops and sweeteners and derived products,NA,Maple syrup is produced by atmospheric boiling of maple sap in an open-pan evaporator. Continuing the evaporation process until the syrup crystalizes yields maple sugar.
161,sugar crops nes,TRUE,Sugar crops nes,3,sugar crops and sweeteners and derived products,Acer saccharum | Sorghum saccharatum | Arenga saccharifera,"Includes minor sugar crops of local importance. In the case of saps, production is to be expressed in liquid equivalent."
162,sugar raw centrifugal,FALSE,"Sugar, Raw Centrifugal",3,sugar crops and sweeteners and derived products,NA,The sum of codes 0158 and 0159. Processed further to obtain refined sugar.
163,sugar non-centrifugal,FALSE,"Sugar, Non-Centrifugal",3,sugar crops and sweeteners and derived products,NA,Generally derived from sugar cane through traditional methods without centrifugation.
164,sugar refined,FALSE,"Sugar, Refined",3,sugar crops and sweeteners and derived products,NA,"Production covers domestic production, plus or minus imports and/or exports of raw centrifugal sugar in terms of refined sugar."
165,molasses,FALSE,Molasses,3,sugar crops and sweeteners and derived products,NA,"A by-product of the extraction or refining of beet or cane sugar or of the production of fructose from maize. Used for feed, food, industrial alcohol, alcoholic beverages and ethanol."
166,other fructose and syrup,FALSE,Other Fructose and Syrup,3,sugar crops and sweeteners and derived products,NA,"Monosaccharide found in fruits and honey, commercially produced from glucose, sucrose or by hydrolysis of inulin (polysaccharide found mainly in the tubers of the dahlia and the Jerusalem artichoke). Especially suitable for use by diabetics."
167,sugar and syrups nes,FALSE,Sugar and Syrups nes,3,sugar crops and sweeteners and derived products,NA,"Includes invert sugar, caramel, golden syrup, artificial honey, maltose other than chemically pure, sorghum and palm sugars. See also the general note in the introduction."
168,sugar confectionery,FALSE,Sugar Confectionery,3,sugar crops and sweeteners and derived products,NA,"Sugar confectionery, including chewing gum, that does not contain cocoa. Includes white chocolate."
169,beet pulp,FALSE,Beet Pulp,11,fodder crops and products,NA,Residue from the extraction of sugar from the root of sugar beets. Used for animal feed.
170,bagasse,FALSE,Bagasse,11,fodder crops and products,NA,"Residue consisting of the fibrous portion of the sugar cane after the juice has been extracted. Used as a fuel in sugar mills, as an animal feed, and in paper production."
172,glucose and dextrose,FALSE,Glucose and Dextrose,3,sugar crops and sweeteners and derived products,NA,"Glucose is a monosaccharide produced by hydrolysing starch with acids and/or enzymes. Dextrose is chemically pure glucose. Used in the food industry, in brewing, in tobacco fermentation and in pharmaceutical products."
173,lactose,FALSE,Lactose,3,sugar crops and sweeteners and derived products,NA,Also known as milk sugar. Produced commercially from whey.
174,artificial sweeteners,FALSE,Artificial Sweeteners,3,sugar crops and sweeteners and derived products,NA,High-intensity or low-caloric sweetening agents that are produced chemically.
175,isoglucose,FALSE,Isoglucose,3,sugar crops and sweeteners and derived products,NA,"Also known as HFCS (high-fructose corn syrup), HFSS (high-fructose starch syrup), HFGS (high-fructose glucose syrup). Isoglucose is a new type of starch syrup where glucose has been isomerized to fructose by using one or more isomerizing enzymes. Most important of the sweeteners manufactured from maize starch. Widely used in the production of food and soft drinks."
