origin,target,source,date,tabID
acrelândia,acrelândia,translateTerms(),2019-08-26,
água fria,água fria,translateTerms(),2019-08-26,
alexânia,alexânia,translateTerms(),2019-08-26,
amélia rodrigues,amélia rodrigues,translateTerms(),2019-08-26,
américa dourada,américa dourada,translateTerms(),2019-08-26,
anguera,anguera,translateTerms(),2019-08-26,
antônio gonçalves,antônio gonçalves,translateTerms(),2019-08-26,
apuarema,apuarema,translateTerms(),2019-08-26,
araças,araças,translateTerms(),2019-08-26,
arataca,arataca,translateTerms(),2019-08-26,
aratuípe,aratuípe,translateTerms(),2019-08-26,
assis brasil,assis brasil,translateTerms(),2019-08-26,
banzaê,banzaê,translateTerms(),2019-08-26,
barbalha,barbalha,translateTerms(),2019-08-26,
barra da estiva,barra da estiva,translateTerms(),2019-08-26,
barra do choça,barra do choça,translateTerms(),2019-08-26,
barra do mendes,barra do mendes,translateTerms(),2019-08-26,
barra do rocha,barra do rocha,translateTerms(),2019-08-26,
barro preto,barro preto,translateTerms(),2019-08-26,
belo campo,belo campo,translateTerms(),2019-08-26,
biritinga,biritinga,translateTerms(),2019-08-26,
bom jesus da serra,bom jesus da serra,translateTerms(),2019-08-26,
boninal,boninal,translateTerms(),2019-08-26,
botuporã,botuporã,translateTerms(),2019-08-26,
branquinha,branquinha,translateTerms(),2019-08-26,
brasiléia,brasiléia,translateTerms(),2019-08-26,
brejões,brejões,translateTerms(),2019-08-26,
buerarema,buerarema,translateTerms(),2019-08-26,
caatiba,caatiba,translateTerms(),2019-08-26,
caém,caém,translateTerms(),2019-08-26,
caetité,caetité,translateTerms(),2019-08-26,
cairu,cairu,translateTerms(),2019-08-26,
camamu,camamu,translateTerms(),2019-08-26,
candiba,candiba,translateTerms(),2019-08-26,
canutama,canutama,translateTerms(),2019-08-26,
capistrano,capistrano,translateTerms(),2019-08-26,
cardeal da silva,cardeal da silva,translateTerms(),2019-08-26,
catolândia,catolândia,translateTerms(),2019-08-26,
caturama,caturama,translateTerms(),2019-08-26,
chorrochó,chorrochó,translateTerms(),2019-08-26,
cícero dantas,cícero dantas,translateTerms(),2019-08-26,
cipó,cipó,translateTerms(),2019-08-26,
conceição do almeida,conceição do almeida,translateTerms(),2019-08-26,
conceição do jacuípe,conceição do jacuípe,translateTerms(),2019-08-26,
condeúba,condeúba,translateTerms(),2019-08-26,
